web-scraper-order,web-scraper-start-url,titulo,precio,habitaciones,banos,metros
1616373395-3004,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-8.html,Departamento en Juriquilla Towers,"MN 28,000",2 rec.,"2
					
						baños",128 m²
1616373358-2940,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-11.html,"Precioso Departamento en Juriquilla Towers, Amueblado, Ganelo","MN 25,000",2 rec.,"2
					
						baños",115 m²
1616373426-3052,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-6.html,"Departamento Renta Amueblado, Atelier Juriquilla","MN 14,000",2 rec.,"1
					
						baño",69 m²
1616373478-3154,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-2.html,Renta Departamento Amueblado de Lujo en Juriquilla Towers,"MN 35,000",3 rec.,"3
					
						baños",174 m²
1616373282-2787,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-17.html,"Se Renta Departamento Amueblado en Biosfera Towers Juriquilla, 3 Recamas, Luxury","MN 26,000",3 rec.,"2
					
						baños",135 m²
1616373438-3085,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-5.html,"Departamento en Renta en La Loma Residences, Querétaro.","MN 15,000",2 rec.,"2
					
						baños",85 m²
1616373465-3134,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-3.html,"Precioso Departamento en Renta en La Loma, 2 Recamaras, 2 Ba","MN 15,000",2 rec.,"2
					
						baños",90 m²
1616373282-2776,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-17.html,Renta Departamento Amueblado en Juriquilla Muy Centrico y Moderno,"MN 19,800",2 rec.,"2
					
						baños",136 m²
1616373426-3048,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-6.html,Renta Departamento Garden Towers,"MN 22,500",3 rec.,"3
					
						baños",174 m²
1616373226-2696,https://www.inmuebles24.com/departamentos-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-2.html,Departamento en Renta en El Mirador,"MN 11,500",2 rec.,"2
					
						baños",85 m²
1616373438-3063,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-5.html,Departamento en Renta en Juriquilla Aqc,"MN 16,500",2 rec.,"1
					
						baño",127 m²
1616373296-2822,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-16.html,20 - 5 Renta de Pent House Chico en Juriquilla,"MN 23,500",3 rec.,"2
					
						baños",184 m²
1616373478-3144,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-2.html,Departamento - Juriquilla,"MN 22,000",null,null,null
1616373347-2916,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-12.html,Departamento en Renta en Juriquilla Aqc,"MN 20,000",3 rec.,"3
					
						baños",184 m²
1616373500-3190,https://www.inmuebles24.com/departamentos-en-renta-en-fraccionamiento-residencial-el-refugio.html,Departamento en Renta El Refugio,"MN 12,000",2 rec.,"2
					
						baños",90 m²
1616373395-3003,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-8.html,Departamento en Renta Amueblado en Real de Juriquilla.,"MN 17,500",2 rec.,"2
					
						baños",120 m²
1616373282-2790,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-17.html,Hermoso Departamento en Renta en Altos de Juriquilla,"MN 25,000",2 rec.,"2
					
						baños",109 m²
1616373335-2873,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-13.html,Departamento de 2 Hab. en Valle de Juriquilla,"MN 15,000",2 rec.,"2
					
						baños",120 m²
1616373310-2840,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-15.html,Departamento Amueblado Renta Biosfera Juriquilla,"MN 20,000",2 rec.,"2
					
						baños",147 m²
1616373323-2848,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-14.html,"En Renta Departamento Amueblado en Juriquilla, 2 Recamaras, 2.5 Baños, Alberca.","MN 17,000",2 rec.,"2
					
						baños",130 m²
1616373452-3093,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-4.html,Bpi/ Departamento en Renta en Biòsfera Juriquilla,"MN 15,500",2 rec.,"2
					
						baños",91 m²
1616373395-2999,https://www.inmuebles24.com/departamentos-en-renta-en-juriquilla-pagina-8.html,Departamento Amueblado de 2 Hab en Atelier Juriquilla,"MN 18,000",2 rec.,"2
					
						baños",110 m²
