web-scraper-order,web-scraper-start-url,titulo,precio
1618362618-1114,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=1,VENTA CASA EN ARCO DE PIEDRA JURICA,"$6,200,000"
1618362412-765,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=13,Casa en venta Jurica 5 habitaciones JGCC,"$16,500,000"
1618362461-865,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=10,Casa en venta Jurica 5 habitaciones JGCC,"$16,500,000"
1618362520-935,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=7,"Venta de Casa en Jurica, Queretaro en condominio, 3 recamaras y cto. de servicio","$6,200,000"
1618362540-978,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=6,Hermosa casa en Jurica Laureles,"$29,000,000"
1618362573-1024,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=4,"Casa en Venta nueva en Jurica, Queretaro con alberca, 4 recamaras y jacuzzi","$12,900,000"
1618362520-932,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=7,Casa en Jurica de 3 dormitorios y 235 mts2! RAHQRO 20-989,"$3,320,000"
1618362540-967,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=6,Venta de Exclusiva Casa  de 3 recámaras en Fraccionamiento Jurica,"$13,500,000"
1618362603-1078,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=2,Casa en venta en Jurica Campestre Queretaro con bungalow independiente,"$4,750,000"
1618362498-925,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=8,"Casa sola en Venta, en Jurica, Querétaro","$19,950,000"
1618362573-1029,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=4,Jurica Casa en Venta,"$5,950,000"
