web-scraper-order,web-scraper-start-url,titulo,precio,mets
1620502940-8220,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/los-candiles-1/terreno/for-sale/,Vista Real Country Club Terreno en Venta,"$4,081,000",770 m²
1620502949-8241,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-centro/terreno/for-sale/?page=3,QH. 20-3544 Terreno con uso de suelo mixto en El Pueblito!,"$1,447,300",353 m²
1620502955-8263,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-centro/terreno/for-sale/?page=2,EXCELENTE OPORTUNIDAD PARA DESARROLLADORA,"$2,000",80000 m²
1620503000-8445,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=1,"TERRENO EN VENTA, EN LA VISTA , EL REFUGIO","$1,750,000",283 m²
1620502899-8071,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?page=2,Terreno en esquina de 653 mts2 en El Campanario! RAHH 212243,"$7,100,000",653 m²
1620503008-8488,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?page=4,VENTA TERRENO EN CUMBRES DEL LAGO JURIQUILLA QUERETARO,"$1,650,000",270 m²
1620503023-8550,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?page=2,"VENTA DE TERRENO EN JURIQUILLA, CUMBRES DEL LAGO","$6,300",270 m²
1620502963-8316,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-centro/terreno/for-sale/?page=1,Terreno habitacional premium El Condado,"$934,776",180 m²
1620502955-8259,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-centro/terreno/for-sale/?page=2,EXCELENTE TERRENO DE 4523M2 UBICADO A PIE DE CARRETERA EN CORREGIDORA !!,"$5,000",4523 m²
1620502986-8381,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=3,Terreno en El Refugio de 546 mts2! RAHQRO 20-734,"$3,437,541",546 m²
