web-scraper-order,web-scraper-start-url,titulo,precio
1618362889-1598,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=36,VENTA CASAS - BOJAI EL REFUGIO - QUERETARO,"$4,800,000"
1618363000-1785,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=30,"Preciosa en El Refugio, ROOF GARDEN, 4 Recamaras, una en PB, 4.5 Baños, PREMIUM","$4,780,000"
1618362175-68,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=19,Se vende casa en Juriquilla en Cumbres de Lago,"$4,200,000"
1618363421-2904,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=2,CASA EN VENTA EN FRACCIONAMIENTO MIRADOR,"$2,640,000"
1618362716-1290,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=7,Casa en Venta Milenio 3ra sección Querétaro,"$5,800,000"
1618363749-4219,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=19,Casa con Alberca en Juriquilla Querétaro CMC#20-2328,"$2,670,000"
1618363851-4625,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=5,CASA con ROOFGARDEN en PREVENTA en el Corazón de Juriquilla,"$3,576,498"
1618363291-2478,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=7,Hermosa casa en El Refugio de 3 dormitorios y 184 mts2! RAHH,"$2,700,000"
1618363625-3707,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=36,Venta de casa en San francisco juriquilla con recamara en planta baja,"$11,500,000"
1618363801-4423,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=12,Amplia Casa en Venta con Genial Ubicación. Juriquilla,"$4,400,000"
1618362773-1404,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=4,Milenio III Lucépolis Casa con 3 Niveles 3 Rec Vigilancia,"$3,900,000"
1618362213-228,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=14,CASA EN VENTA CUMBRES DEL LAGO QUERÉTARO 4 RECÁMARAS,"$6,750,000"
1618362205-204,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=15,"Casa sola en Venta, en Cumbres del Lago, Querétaro","$3,200,000"
